0.000000000000000000e+00,8.326020859906314797e+00,-4.879131478716787207e+00
1.941834129573000212e+01,8.402312839093630359e+00,-2.193654934188847605e+00
5.083383920755193941e+01,8.272096282322040750e+00,5.300547713697985941e+00
8.378017634201478359e+01,8.272096282322040750e+00,9.863093168861645665e+00
1.127725932027459805e+02,8.272096282322040750e+00,1.301096634942562069e+01
1.381755031312349615e+02,8.272096282322040750e+00,1.875284620204512720e+01
1.727436502918605470e+02,8.272096282322040750e+00,2.620719579029836765e+01
2.194831773276716262e+02,1.025163943199201810e+01,5.028469534744457548e+01
2.301370914983068872e+02,1.057136472201441002e+01,5.208013986611489088e+01
2.817118531611957337e+02,1.344159166897394542e+01,8.812189561511317493e+01
3.134743162998805701e+02,1.495381908184299036e+01,1.097166365196218010e+02
3.182196567599985428e+02,1.487744765152425330e+01,1.087017179794760580e+02
3.846655570386175214e+02,1.688987288206853421e+01,1.592662983567131505e+02
5.714353087529686945e+02,2.834865700481464756e+01,6.812064370001523912e+02
8.150464034376125255e+02,6.376711837885287792e+01,2.792304342998748780e+03
9.821793047843084423e+02,1.205047108435890806e+02,6.418561843487492297e+03
